Player,2PA,3PA,FTA,ORB,DRB,AST,STL,BLK,PTS,2P%,3P%,eFG%,FT%,DBPM,USG%,REACH(in.),Cost
LeBron James,15.1,3.7,6.5,1.5,6,6.8,1.4,0.7,25.5,0.573,0.309,0.551,0.731,2.3,31.4,107,7
LaMarcus Aldridge,16.4,0.3,4.8,2.8,7.3,1.8,0.6,1.3,21.1,0.521,0,0.513,0.858,1.1,25.9,110,5
DeMarcus Cousins,18,3.4,10.6,2.5,9.4,3.4,1.6,1.5,28,0.473,0.333,0.477,0.718,1.6,35.4,113,5
Anthony Davis,24.6,1.8,7.2,2.2,8.3,1.9,1.3,2.1,24.6,0.511,0.324,0.508,0.758,1.2,29.6,108,5
Blake Griffin,18,0.6,6,1.6,7.5,5.2,0.9,0.5,23,0.504,0.333,0.504,0.727,1.6,29.8,105,5
James Harden,11.1,7.6,9.6,0.7,5,7.1,1.6,0.6,27.4,0.494,0.359,0.512,0.86,-0.4,32.5,103.5,5
Kawhi Leonard,12.1,4.4,5.1,1.4,6,2.8,1.9,1.1,23,0.528,0.443,0.565,0.874,2.8,25.8,106,5
Chris Paul,11.7,4.9,4.9,0.6,4,11,2.3,0.2,21.5,0.501,0.371,0.517,0.896,0.5,27.1,93,5
Russell Westbrook,14.4,4.5,7.5,1.9,6.3,10.9,2.1,0.3,24.6,0.503,0.296,0.489,0.812,2.4,31.6,100,5
Carmelo Anthony,14.2,4.4,5.7,1.4,6.5,4.3,0.9,0.5,22.4,0.463,0.339,0.474,0.829,-0.2,29.7,105.5,4
Jimmy Butler,12.1,3,6.9,1.1,4.1,4.7,1.6,0.6,20.4,0.489,0.312,0.485,0.832,0.3,24.4,101.5,4
DeMar Derozan,15.9,1.8,8.4,0.8,3.7,4,1,0.3,23.5,0.458,0.338,0.463,0.85,-1.2,29.8,103.5,4
Andre Drummond,14.2,0.1,7.9,5.3,10.8,0.9,1.6,1.5,17.7,0.522,0,0.522,0.355,1.6,24.1,109.5,4
Paul George,11.3,7.2,6.7,1,6.2,4.2,1.9,0.4,23.9,0.447,0.371,0.49,0.86,1,30.4,107,4
Kyrie Irving,13.3,5.7,4.1,1,2.4,5.4,1.2,0.4,22.5,0.502,0.321,0.496,0.885,-1.4,29.5,99,4
Damian Lillard,11.6,8.2,6.2,0.6,3.5,6.9,0.9,0.4,25.3,0.45,0.375,0.497,0.892,-2.2,31.3,95.5,4
Paul Millsap,11.3,3.2,5.5,2.7,7.3,3.6,2,1.9,18.8,0.512,0.319,0.505,0.757,4.2,24.3,105.5,4
Karl-Anthony Towns,14.6,1.2,3.8,3.1,8.6,2.2,0.8,1.9,20.6,0.559,0.341,0.555,0.811,1.2,24.9,113,4
John Wall,13.2,4.2,4.4,0.5,4.4,10.2,1.9,0.8,19.8,0.448,0.351,0.467,0.791,1,28.6,101.5,4
Hassan Whiteside,11.6,0,5.6,4,10.6,0.5,0.7,4.6,17.6,0.606,0,0.606,0.65,3.4,20.7,113,4
Giannis,11.5,1.4,5.2,1.4,6.4,4.4,1.2,1.4,17.2,0.537,0.257,0.52,0.724,1.5,22.3,114,3
Eric Bledsoe,12.3,4.4,5.8,0.6,3.6,6.5,2.1,0.6,21.5,0.482,0.372,0.502,0.802,0.1,27.2,98,3
Chris Bosh,11,4.5,5.4,1,6.9,2.6,0.7,0.7,20.4,0.508,0.365,0.52,0.795,-0.3,24.7,109,3
Derrick Favors,14.7,0.1,4.6,3.1,6.1,1.7,1.3,1.7,18.4,0.518,0,0.515,0.709,2.3,23.9,110,3
Marc Gasol,14.2,0.1,4.9,1.2,6.1,3.9,1,1.4,17.3,0.463,0.667,0.465,0.829,1.7,23.4,112,3
Al Horford,10.8,3.5,1.8,2,6.1,3.6,0.9,1.7,17.1,0.557,0.344,0.547,0.798,2.6,20.6,107,3
Dwight Howard,9.4,0.1,7.5,3.8,9.4,1.5,1.1,1.8,15.4,0.626,0,0.62,0.489,1.8,18.4,111.5,3
Serge Ibaka,9.9,2.6,1.7,2,5.6,1,0.5,2.1,14.2,0.52,0.326,0.513,0.752,1,17.6,111,3
DeAndre Jordan,7,0,8.6,3.7,11,1.2,0.7,2.5,13.6,0.704,0,0.703,0.43,3.8,15.4,113.5,3
Kevin Love,8,6.5,4.7,2.2,9.1,2.8,0.9,0.6,18.3,0.467,0.36,0.499,0.822,0.9,23.4,106,3
